TIC_ID,OID,n_OID,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,l_Period,Period,u_Period,RAJ2000,DEJ2000,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
354785938,227553,,NSVS 380858,0,EW,,13.48,,V,,,13.91,,V,,0.2838596,,38.44367,71.87586,40.36521,-1,V,4.879999999999999
354825513,37804,B,gam 2 Vel,0,WR,,1.81,,V,,,1.87,,V,,78.53,,122.38313,-47.33658,0.14538,-1,B,1.925
355450245,26968,B,V0366 Pup,0,EA,,8.07,,V,,,8.59,,V,,2.484025,,110.21583,-48.51411,107.164368,-1,V,2.3409999999999993
355601117,172575,B,UNSW-V 334,0,EA,,9.12,,I,(,,0.006,,I,,4.15516,,357.66875,-57.50608,0.56857,-1,T,2.088800000000001
355978064,1506863,,ASASSN-V J094510.02+780715.5,0,ROT,,12.85,,V,,,12.96,,V,,5.42358,,146.29176,78.12098,81.409991,-1,V,6.611
356015361,1543025,,PMAK V52,0,EA,,8.89,,V,(,,0.23,,TESS,,11.25949,,254.30942,68.57417,96.164865,-1,V,1.661999999999999
356245399,1506372,,ASASSN-V J091401.48-521111.1,0,SR,,14.9,,V,,,15.04,,V,,49.09,,138.50615,-52.18642,71.104846,-1,V,4.514000000000001
356974639,12528,B,V1608 Cyg,0,UVN,,14.8,,U,,,17.3,,U,,,,314.31971,44.72725,2.869431,-1,B,3.535
357204164,742136,,ASASSN-V J120711.77-794451.6,0,ROT,,14.52,,V,,,14.63,,V,,8.0813,,181.79904,-79.74768,106.70316,-1,V,5.16
357744369,636183,B,WISE J020855.2+712308,0,EW,,14.363,,r,(,,0.425,,r,,0.8978832,,32.23025,71.38586,114.09405,-1,r,4.991349999999999
358335586,481367,B,SSS_J050900.9-550027,0,EA,,13.18,,CV,(,,0.97,,CV,,1.221302,,77.25422,-55.00762,39.209483,-1,V,3.9109999999999996
358465355,839981,,ASASSN-V J075605.93-601606.9,0,EB,,13.97,,V,,,14.44,,V,,0.570521,,119.02469,-60.26858,49.386908,-1,V,4.376000000000001
358870376,739293,,ASASSN-V J091710.77-651839.5,0,EA,,12.41,,V,,,12.58,,V,,5.306,,139.29488,-65.31099,56.512247,-1,V,1.7759999999999998
358935454,712113,,ASASSN-V J120146.06-740754.4,0,EW,,13.07,,V,,,13.44,,V,,0.394217,,180.4419,-74.13177,43.541723,-1,V,3.655000000000001
359313701,1499712,,MNIC V104,0,ELL+UV,,12.0,,g,,,14.1,,g,,1.802451,,268.01187,56.608,1.171673,-1,B,2.8819999999999997
359552377,512885,B,SERIV 91,0,EA,,12.77,,V,,,14.85,,V,,3.43918,,279.41379,57.72831,64.861513,-1,V,1.613999999999999
359767082,272052,B,GSC 09239-01572,0,TTS/ROT,,11.5,,V,(,,0.3,,V,,1.536,,185.09125,-74.1275,0.780997,-1,V,1.0670000000000002
359834490,97304,B,ASAS J135756-4645.4,0,ED,,11.45,,V,(,,0.17,,V,,5.670274,,209.48313,-46.75564,60.633522,-1,V,4.367000000000001
360661624,1544311,,CzeV1509,0,DSCT,,10.55,,V,,,10.6,,V,,0.204571,,296.10896,23.2984,84.988209,-1,V,1.129999999999999
360943695,741521,,ASASSN-V J124531.69-734822.6,0,EA,,13.54,,V,,,13.85,,V,,7.197,,191.38205,-73.80627,47.192462,-1,V,5.309999999999999
360945306,44537,B,NSV 5913,1,IS,,14.0,,pg,,,14.5,,pg,,,,191.21342,-74.49053,70.467464,-1,B,2.1099999999999994
362187226,1937197,,ZTF J193913.92+220739.6,0,EA,,16.736,,r,(,,0.561,,r,,0.7938918,,294.80804,22.12767,12.883695,-1,GAIA,2.099
362259855,1527835,,ASASSN-V J190536.70+740502.0,0,EB,,12.07,,V,,,12.34,,V,,0.884761,,286.40292,74.08388,49.724106,-1,V,2.6020000000000003
362384933,640424,B,WISE J162248.8-670846,0,EA,,12.459,,W1,(,,0.302,,W1,,1.294359,,245.70337,-67.14628,104.153234,-1,w1,1.1219999999999999
