TIC,m_TIC,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,Sectors,UpDate,tesseb_source
112401201,1,1657.43239,0.0006718008,1.1157894,4.4003535e-06,0.68,0.141,0.156,1.0,0.139,0.09,0.497,0.2428,0.22,0.0005559,0.234,0.152,0.4945,13,2021-09-16T17:36:54,J/ApJS/258/16/tess-ebs
113061684,1,1657.050081,0.008505073,0.6932295,8.3239578e-06,0.882,0.259,0.064,1.005,0.304,0.028,0.513,,,,,,,"13,27",2021-09-16T17:36:56,J/ApJS/258/16/tess-ebs
113098812,1,1682.1919,0.0007955842,4.8960145,0.00045845295,0.287,0.038,0.033,1.0,,,,0.05492,0.034,0.0004761,,,,14,2021-09-16T17:37:05,J/ApJS/258/16/tess-ebs
113565705,1,1656.620665,0.0002802635,1.6583723,2.1382895e-05,0.89,0.376,0.024,0.5095,,,,0.1084,0.023,0.001444,,,,13,2021-09-16T17:36:58,J/ApJS/258/16/tess-ebs
113567527,1,1663.11501,0.001701283,6.6547256,0.0015195942,0.274,0.033,0.077,0.9999,,,,0.05121,0.092,0.9996,0.104,0.008,0.4997,13,2021-09-16T17:36:56,J/ApJS/258/16/tess-ebs
114471605,1,1388.304658,0.001541401,6.3869005,0.0013913308,0.143,0.017,0.269,1.0,,,,0.02561,0.313,0.0008969,,,,3,2021-09-16T17:39:15,J/ApJS/258/16/tess-ebs
114500611,1,1386.278259,0.001571111,0.4887741,1.9582111e-05,0.816,0.185,0.123,0.9977,,,,,,,,,,3,2021-09-16T17:40:26,J/ApJS/258/16/tess-ebs
114547549,1,1494.200909,0.005859204,3.8679801,0.0025587521,0.524,0.128,0.154,1.002,0.119,0.04,0.506,0.1702,0.176,0.003141,,,,7,2021-09-16T17:39:41,J/ApJS/258/16/tess-ebs
114819301,1,1355.595385,0.0006719478,9.7729818,0.00060881312,0.109,0.009,0.064,0.9998,0.01,0.061,0.501,0.01404,0.067,0.9999,0.014,0.064,0.5008,2,2021-09-16T17:39:22,J/ApJS/258/16/tess-ebs
115046240,1,1438.394667,0.000338854,0.3458225,1.6396272e-06,0.832,0.154,0.089,1.0,0.15,0.08,0.5,0.352,0.168,0.00123,0.272,0.163,0.5,5,2021-09-16T17:40:39,J/ApJS/258/16/tess-ebs
115105140,1,1325.537583,0.000692575,0.410686,4.9130463e-06,0.766,0.166,0.13,1.002,0.177,0.116,0.501,0.002951,0.383,0.9721,,,,1,2021-09-16T17:40:16,J/ApJS/258/16/tess-ebs
115115136,1,1323.940444,0.02601397,3.9569949,0.0061164158,0.414,0.047,0.016,0.9997,,,,0.08642,0.021,0.006505,0.074,0.016,0.5,"1,27",2021-09-16T17:39:57,J/ApJS/258/16/tess-ebs
115244268,1,1326.530455,0.01062742,2.0089279,2.611096e-05,0.383,0.046,0.106,0.9998,,,,0.06916,0.12,0.9937,,,,"27,28",2021-09-16T17:41:14,J/ApJS/258/16/tess-ebs
115275539,1,1387.923897,0.2850692,1.7630617,4.0326821e-05,0.505,,,0.9994,,,0.313,0.1312,0.023,0.001961,0.001,0.004,0.368,3,2021-09-16T17:39:17,J/ApJS/258/16/tess-ebs
