subject_id,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at
56372842,1,1,0,1,1,2021-02-06 16:47:08.813000+00:00
56373019,1,1,0,1,1,2021-02-04 18:41:00.663000+00:00
56373086,4,4,0,4,4,2021-02-09 21:05:58.057000+00:00
56373122,3,3,0,3,3,2021-02-05 07:37:22.259000+00:00
56373176,3,3,0,4,4,2021-02-03 22:02:27.880000+00:00
56373190,1,1,0,1,1,2021-02-04 12:56:47.917000+00:00
56373262,1,1,0,1,1,2021-02-05 11:09:44.642000+00:00
56373291,1,1,0,1,1,2021-02-02 16:08:31.682000+00:00
56373301,4,4,0,4,4,2021-02-04 20:35:43.857000+00:00
56373359,1,1,0,6,6,2022-05-15 17:06:55.209000+00:00
56373370,3,3,0,3,3,2021-02-03 22:41:35.044000+00:00
56373376,6,7,1,8,8,2021-02-09 18:36:11.257000+00:00
56373383,-3,3,6,9,9,2021-02-06 20:47:00.029000+00:00
56373389,1,1,0,1,1,2021-02-04 16:40:54.062000+00:00
56373412,-3,1,4,6,6,2021-02-07 11:39:29.504000+00:00
56373489,1,1,0,1,1,2021-02-01 16:44:21.888000+00:00
56373500,2,2,0,3,3,2021-02-02 12:20:27.744000+00:00
56373524,-2,2,4,6,6,2021-02-06 13:30:58.730000+00:00
56373561,2,4,2,8,8,2021-02-09 17:06:01.183000+00:00
56373579,1,1,0,1,1,2021-02-07 11:38:34.912000+00:00
56373585,1,1,0,1,1,2021-02-06 15:31:59.035000+00:00
56373629,3,3,0,3,3,2021-02-09 15:50:33.496000+00:00
56373640,1,1,0,1,1,2021-02-02 15:08:38.876000+00:00
56373646,1,1,0,1,1,2021-02-02 12:38:43.521000+00:00
56373660,5,5,0,5,5,2021-02-04 21:56:14.227000+00:00
56373728,2,2,0,2,2,2021-02-09 15:36:24.187000+00:00
56373730,1,1,0,1,1,2021-02-05 14:11:59.942000+00:00
56373731,4,4,0,5,5,2021-02-06 20:21:03.157000+00:00
56373772,3,3,0,6,6,2021-02-07 04:44:03.686000+00:00
56373792,5,5,0,5,5,2021-02-10 21:59:58.133000+00:00
56373895,4,4,0,4,4,2021-02-06 11:59:10.276000+00:00
56373912,1,1,0,1,1,2021-02-05 11:50:32.180000+00:00
56373930,3,3,0,3,3,2021-02-07 14:06:43.976000+00:00
56373953,1,1,0,3,4,2021-02-05 17:00:05.413000+00:00
56373970,4,4,0,4,4,2021-02-09 15:29:28.029000+00:00
56373978,3,3,0,3,3,2021-02-09 15:27:47.880000+00:00
56374129,1,1,0,1,1,2021-02-05 19:32:42.613000+00:00
56374136,1,1,0,2,2,2021-02-03 23:46:59.084000+00:00
56374439,4,4,0,5,5,2021-02-07 14:45:06.687000+00:00
56374473,0,1,1,1,1,2021-02-05 06:20:33.251000+00:00
56374500,7,7,0,7,7,2021-02-07 18:26:03.747000+00:00
56374541,1,1,0,2,2,2021-02-03 19:02:30.288000+00:00
56374595,-2,1,3,8,8,2021-02-07 20:31:39.200000+00:00
56374613,1,1,0,4,4,2021-02-07 12:32:54.643000+00:00
56374646,3,5,2,5,5,2021-02-09 14:59:36.208000+00:00
56374693,-2,1,3,4,4,2021-02-07 10:54:37.327000+00:00
56374729,-2,1,3,7,8,2021-02-07 21:26:53.820000+00:00
56374747,3,4,1,5,5,2021-02-05 06:46:37.496000+00:00
56374759,2,2,0,2,2,2021-02-06 12:39:05.686000+00:00
56374812,2,2,0,3,3,2021-02-07 12:16:00.884000+00:00
56374850,3,4,1,5,5,2021-02-06 21:45:11.594000+00:00
56374863,3,3,0,4,4,2021-02-06 16:16:10.916000+00:00
56374869,1,1,0,2,2,2021-08-01 16:00:18.632000+00:00
56374871,0,3,3,8,8,2021-02-07 15:53:08.681000+00:00
56374943,1,1,0,2,2,2021-02-05 15:27:36.018000+00:00
56374945,2,3,1,5,5,2021-02-09 01:24:46.158000+00:00
56375000,4,4,0,5,5,2021-02-06 17:58:10.561000+00:00
56375022,1,1,0,1,1,2021-02-06 17:57:29.267000+00:00
56375031,6,6,0,7,7,2021-02-09 13:16:27.123000+00:00
56375053,6,6,0,6,6,2021-02-09 01:17:17.191000+00:00
56375064,5,5,0,5,5,2021-02-09 01:15:44.428000+00:00
