HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457095.58535,2015-03-14.0836666,be,2.25,15.420,11.735,0.008,77.595,0.575,V
2457095.58676,2015-03-14.0850828,be,2.24,15.406,11.737,0.008,77.505,0.589,V
2457097.70554,2015-03-16.2038648,be,1.40,15.475,11.832,0.008,70.973,0.526,V
2457097.70695,2015-03-16.2052768,be,1.51,15.472,11.839,0.009,70.501,0.532,V
2457101.69773,2015-03-20.1964821,be,1.59,15.448,11.826,0.008,71.372,0.540,V
2457108.60229,2015-03-27.1010842,be,1.53,15.439,11.749,0.007,76.646,0.545,V
2457108.60372,2015-03-27.1025141,be,1.44,15.447,11.747,0.008,76.802,0.553,V
2457111.67008,2015-03-30.1689069,be,1.57,15.403,11.757,0.009,76.039,0.568,V
2457111.67150,2015-03-30.1703229,be,1.52,15.384,11.771,0.008,75.077,0.569,V
2457114.61580,2015-04-02.1146509,be,1.57,15.350,11.743,0.009,77.026,0.592,V
2457114.61721,2015-04-02.1160635,be,1.62,15.355,11.742,0.008,77.095,0.581,V
2457115.61788,2015-04-03.1167425,be,1.55,15.320,11.757,0.008,76.108,0.604,V
2457115.61930,2015-04-03.1181646,be,1.45,15.374,11.759,0.009,75.933,0.582,V
2457117.64332,2015-04-05.1422074,be,1.54,15.355,11.855,0.009,69.453,0.572,V
2457117.64475,2015-04-05.1436349,be,1.54,15.285,11.837,0.010,70.683,0.622,V
2457118.64970,2015-04-06.1485973,be,1.48,15.330,11.743,0.009,77.102,0.605,V
2457119.51711,2015-04-07.0160138,be,1.72,15.431,11.713,0.007,79.236,0.544,V
2457119.51854,2015-04-07.0174407,be,1.67,15.417,11.737,0.008,77.530,0.564,V
2457124.55385,2015-04-12.0528174,be,1.72,15.464,11.759,0.008,75.887,0.537,V
2457124.55527,2015-04-12.0542335,be,1.67,15.468,11.764,0.007,75.562,0.532,V
2457129.62566,2015-04-17.1246982,be,1.51,15.493,11.868,0.008,68.670,0.514,V
2457129.62709,2015-04-17.1261341,be,1.46,15.494,11.860,0.008,69.132,0.516,V
2457133.58477,2015-04-21.0838736,be,1.55,15.503,11.864,0.009,68.891,0.519,V
2457133.58621,2015-04-21.0853155,be,1.50,15.502,11.880,0.008,67.933,0.515,V
2457136.58222,2015-04-24.0813685,be,1.45,15.456,11.754,0.007,76.307,0.528,V
2457136.58365,2015-04-24.0827964,be,1.45,15.443,11.759,0.007,75.916,0.531,V
2457139.53306,2015-04-27.0322590,be,1.54,15.450,11.772,0.007,75.045,0.538,V
2457139.53451,2015-04-27.0337109,be,1.56,15.437,11.749,0.008,76.625,0.551,V
2457144.50853,2015-05-02.0078122,be,1.87,14.463,11.775,0.019,74.743,1.351,V
2457144.50995,2015-05-02.0092373,be,1.95,14.253,11.715,0.022,79.095,1.612,V
2457147.58374,2015-05-05.0830810,be,1.50,14.662,11.786,0.017,74.032,1.164,V
